|                MJD |     mag |   dmag | filt |      source | nondet |
|  57825.02950000018 |  14.161 | 0.0042 |    i | Las Cumbres |  False |
|  57825.21579999989 |  13.896 | 0.0103 |    U | Las Cumbres |  False |
|  57825.21969999978 | 13.8954 | 0.0098 |    U | Las Cumbres |  False |
|   57825.2237999998 |  14.035 | 0.0048 |    B | Las Cumbres |  False |
|  57825.22660000017 | 14.0315 |  0.004 |    B | Las Cumbres |  False |
| 57825.229600000195 | 13.9406 |  0.005 |    V | Las Cumbres |  False |
|  57825.23139999993 | 13.9382 |  0.005 |    V | Las Cumbres |  False |
|  57825.23339999979 | 13.8207 |  0.006 |    g | Las Cumbres |  False |
|  57825.23620000016 | 13.8187 | 0.0061 |    g | Las Cumbres |  False |
|  57825.23909999989 | 13.9236 | 0.0055 |    r | Las Cumbres |  False |
|  57825.24099999992 | 13.9251 | 0.0047 |    r | Las Cumbres |  False |
| 57825.242999999784 | 14.1377 | 0.0075 |    i | Las Cumbres |  False |
| 57825.244799999986 | 14.1224 | 0.0067 |    i | Las Cumbres |  False |
|  57825.52469999995 | 13.8024 | 0.0131 |    U | Las Cumbres |  False |
| 57825.528599999845 | 13.8238 | 0.0136 |    U | Las Cumbres |  False |
|  57825.53280000016 | 13.9724 | 0.0044 |    B | Las Cumbres |  False |
|  57825.53560000006 | 13.9863 | 0.0051 |    B | Las Cumbres |  False |
|  57825.53849999979 |  13.865 | 0.0088 |    V | Las Cumbres |  False |
|  57825.54039999982 | 13.8405 |  0.007 |    V | Las Cumbres |  False |
|  57825.54249999998 |  13.811 | 0.0071 |    g | Las Cumbres |  False |
|  57825.54520000005 | 13.8276 |  0.006 |    g | Las Cumbres |  False |
|  57825.54820000008 | 13.8357 | 0.0075 |    r | Las Cumbres |  False |
|  57825.55010000011 | 13.8327 | 0.0083 |    r | Las Cumbres |  False |
|  57825.55209999997 | 13.9809 | 0.0078 |    i | Las Cumbres |  False |
| 57825.554000000004 | 13.9742 | 0.0159 |    i | Las Cumbres |  False |
|  57825.64580000006 | 13.8091 | 0.0127 |    U | Las Cumbres |  False |
|  57825.64969999995 | 13.7787 | 0.0123 |    U | Las Cumbres |  False |
|  57825.65379999997 | 13.9107 | 0.0038 |    B | Las Cumbres |  False |
|  57825.65659999987 | 13.9151 | 0.0038 |    B | Las Cumbres |  False |
|  57825.65950000007 | 13.7965 | 0.0046 |    V | Las Cumbres |  False |
|   57825.6614000001 | 13.7838 | 0.0046 |    V | Las Cumbres |  False |
|  57825.66339999996 | 13.7681 | 0.0041 |    g | Las Cumbres |  False |
|  57825.66619999986 | 13.7736 | 0.0041 |    g | Las Cumbres |  False |
|  57825.66910000006 | 13.7857 | 0.0045 |    r | Las Cumbres |  False |
|  57825.67100000009 | 13.7912 | 0.0045 |    r | Las Cumbres |  False |
|  57825.67299999995 | 13.9384 | 0.0049 |    i | Las Cumbres |  False |
|  57825.67489999998 | 13.9781 | 0.0049 |    i | Las Cumbres |  False |
|  57826.13370000012 | 13.6846 | 0.0114 |    U | Las Cumbres |  False |
|  57826.13760000002 | 13.6515 | 0.0109 |    U | Las Cumbres |  False |
|  57826.14170000004 | 13.7771 | 0.0065 |    B | Las Cumbres |  False |
|  57826.14319999982 | 13.7761 | 0.0066 |    B | Las Cumbres |  False |
|  57826.14490000019 | 13.6526 | 0.0068 |    V | Las Cumbres |  False |
|  57826.14610000001 |  13.663 | 0.0077 |    V | Las Cumbres |  False |
|  57826.14740000013 | 13.6105 |  0.015 |    g | Las Cumbres |  False |
|  57826.14889999991 | 13.6011 | 0.0161 |    g | Las Cumbres |  False |
|  57826.15059999982 | 13.6459 | 0.0062 |    r | Las Cumbres |  False |
|  57826.15169999981 | 13.6509 | 0.0053 |    r | Las Cumbres |  False |
|  57826.15299999993 | 13.8302 | 0.0075 |    i | Las Cumbres |  False |
|  57826.15420000022 | 13.8506 | 0.0083 |    i | Las Cumbres |  False |
